Fecha,Año,Mes,Dia,Trimestre,Dia_semana,semana,dia_año,Ventas
2016-05-15,2016,5,15,,1,21,,410015.2
2016-05-16,2016,5,16,,2,21,,378164725.5
2016-05-17,2016,5,17,,3,21,,650486197.1
2016-05-18,2016,5,18,,4,21,,20225680.48
2016-05-19,2016,5,19,,5,21,,18511970.69
2016-05-20,2016,5,20,,6,21,,16562730.32
2016-05-21,2016,5,21,,7,21,,2888527.946
2016-05-22,2016,5,22,,1,22,,65784.26
2016-05-23,2016,5,23,,2,22,,12852137.28
2016-05-24,2016,5,24,,3,22,,14018932.26
2016-05-25,2016,5,25,,4,22,,11129746.29
2016-05-26,2016,5,26,,5,22,,7618172.574
2016-05-27,2016,5,27,,6,22,,11268788.73
2016-05-28,2016,5,28,,7,22,,5090185.473
2016-05-29,2016,5,29,,1,23,,24790.3
2016-05-30,2016,5,30,,2,23,,4085159.836
2016-05-31,2016,5,31,,3,23,,16541853.61
2016-06-01,2016,6,1,,4,23,,5437620.272
2016-06-02,2016,6,2,,5,23,,4866809.245
2016-06-03,2016,6,3,,6,23,,12146809.17
2016-06-04,2016,6,4,,7,23,,2362670.936
2016-06-05,2016,6,5,,1,24,,30818.08
2016-06-06,2016,6,6,,2,24,,8050832.589
2016-06-07,2016,6,7,,3,24,,22831866.06
2016-06-08,2016,6,8,,4,24,,22390878.36
2016-06-09,2016,6,9,,5,24,,33323411.9
2016-06-10,2016,6,10,,6,24,,309814815
2016-06-11,2016,6,11,,7,24,,11208576.95
2016-06-12,2016,6,12,,1,25,,225773.14
2016-06-13,2016,6,13,,2,25,,91116089.98
2016-06-14,2016,6,14,,3,25,,109043749
2016-06-15,2016,6,15,,4,25,,180286666.9
2016-06-16,2016,6,16,,5,25,,369556164
2016-06-17,2016,6,17,,6,25,,475049261.8
